SceneID,NodeID,X,Y,Z,TranslateX,TranslateY,TranslateZ,ScaleX,ScaleY,ScaleZ,RotateX,RotateY,RotateZ
23,1,-85.6,0.875,67.1,85.6,-1.75,-67.1,1,1,1,0,114.5,0
23,2,-74.4,0.875,66.8,74.4,-1.75,-66.8,1,1,1,0,114.5,0
23,3,-54.9,0.875,68.3,54.9,-1.75,-68.3,1,1,1,0,112.1,0
23,4,-38.5,0.875,67.4,38.5,-1.75,-67.4,1,1,1,0,118.9,0
23,5,-32.2,0.875,68.4,32.2,-1.75,-68.4,1,1,1,0,17,0
23,6,-22.9,0.875,65.8,22.9,-1.75,-65.8,1,1,1,0,-72,0
23,7,-44.1,0.875,58.4,44.1,-1.75,-58.4,1,1,1,0,22.2,0
23,8,-39.1,0.875,52.3,39.1,-1.75,-52.3,1,1,1,0,129.9,0
23,9,-32.1,0.875,49.4,32.1,-1.75,-49.4,1,1,1,0,147.1,0
23,10,-22.5,0.875,44.7,22.5,-1.75,-44.7,1,1,1,0,124.9,0
23,11,-49.8,0.875,46.2,49.8,-1.75,-46.2,1,1,1,0,-115.8,0
23,12,-50.2,0.875,38.8,50.2,-1.75,-38.8,1,1,1,0,-87.8,0
23,13,-50.2,0.875,30.1,50.2,-1.75,-30.1,1,1,1,0,-177.4,0
23,14,-36.1,0.875,27.1,36.1,-1.75,-27.1,1,1,1,0,-68.6,0
23,15,-25.9,0.875,27.1,25.9,-1.75,-27.1,1,1,1,0,110,0
23,16,-13.4,0.875,33.07,13.4,-1.75,-33.07,1,1,1,0,111.26,0
23,17,-44,0.875,24.4,44,-1.75,-24.4,1,1,1,0,-156.7,0
23,18,-55.2,0.875,23,55.2,-1.75,-23,1,1,1,0,-101.1,0
23,19,-58.3,0.875,14.5,58.3,-1.75,-14.5,1,1,1,0,-150,0
23,20,-59.1,0.875,4.9,59.1,-1.75,-4.9,1,1,1,0,-154.3,0
23,21,-71.4,0.875,4.9,71.4,-1.75,-4.9,1,1,1,0,-158.1,0
23,22,-77.3,0.875,12.7,77.3,-1.75,-12.7,1,1,1,0,19.8,0
23,23,-77.8,0.875,25.09,77.8,-1.75,-25.09,1,1,1,0,26.46,0
23,24,-74.5,0.875,42,74.5,-1.75,-42,1,1,1,0,125.7,0
23,25,-63.2,0.875,36,63.2,-1.75,-36,1,1,1,0,119.6,0
23,26,-60.7,0.875,46.8,60.7,-1.75,-46.8,1,1,1,0,195.5,0
23,27,-71.5,0.875,54.5,71.5,-1.75,-54.5,1,1,1,0,27.4,0
23,28,-77.6,0.875,44.5,77.6,-1.75,-44.5,1,1,1,0,113.9,0
23,29,-85.7,0.875,44.2,85.7,-1.75,-44.2,1,1,1,0,24.8,0
23,30,-85.7,0.875,55.1,85.7,-1.75,-55.1,1,1,1,0,20.7,0
